Host,DateTime,Seconds,Temperature,Humidity,whiteLight,irLight
hc4,2018-06-27 09:26:01,1530105961.6528187,29.3,48.3,,
hc4,2018-06-27 09:26:22,1530105982.178468,29.3,48.3,,
hc4,2018-06-27 09:27:02,1530106022.2640374,29.3,48.3,,
hc4,2018-06-27 09:27:30,1530106050.3611815,29.3,48.2,,
hc4,2018-06-27 09:28:02,1530106082.8721719,29.3,48.2,,
hc4,2018-06-27 09:28:33,1530106113.4819086,29.3,48.2,,
hc4,2018-06-27 09:29:03,1530106143.4676776,29.4,48.3,,
hc4,2018-06-27 09:29:34,1530106174.0746052,29.3,48.2,,
hc4,2018-06-27 09:30:04,1530106204.0807357,29.4,48.3,,
hc4,2018-06-27 09:30:34,1530106234.6681678,29.3,48.2,,
hc4,2018-06-27 09:31:04,1530106264.6944447,29.4,48.3,,
hc4,2018-06-27 09:31:25,1530106285.5653787,29.3,48.2,,
hc4,2018-06-27 09:32:26,1530106346.1910224,29.3,48.1,,
hc4,2018-06-27 09:33:29,1530106409.3322601,29.4,48.2,,
hc4,2018-06-27 09:34:03,1530106443.4540753,29.4,48.3,,
hc4,2018-06-27 09:34:27,1530106467.1223195,29.4,48.3,,
hc4,2018-06-27 09:35:27,1530106527.732664,29.4,48.3,,
hc4,2018-06-27 09:36:28,1530106588.3486073,29.4,48.3,,
hc4,2018-06-27 09:36:54,1530106614.0989583,29.4,48.3,,
hc4,2018-06-27 09:37:57,1530106677.2938952,29.3,48.2,,
hc4,2018-06-27 09:38:57,1530106737.9036338,29.4,48.2,,
hc4,2018-06-27 09:39:06,1530106746.39569,29.4,48.2,,
hc4,2018-06-27 09:40:07,1530106807.0601003,29.4,48.2,,
hc4,2018-06-27 09:41:07,1530106867.670202,29.4,48.3,,
hc4,2018-06-27 09:41:14,1530106874.5613947,29.4,48.3,,
hc4,2018-06-27 09:42:15,1530106935.1950862,29.4,48.3,,
hc4,2018-06-27 09:43:15,1530106995.801927,29.4,48.3,,
hc4,2018-06-27 09:44:16,1530107056.4074254,29.4,48.3,,
hc4,2018-06-27 09:45:19,1530107119.5442376,29.4,48.3,,
hc4,2018-06-27 09:45:53,1530107153.7884111,29.4,48.4,,
hc4,2018-06-27 09:46:54,1530107214.434438,29.4,48.5,,
hc4,2018-06-27 09:47:29,1530107249.6589966,29.4,48.5,,
hc4,2018-06-27 09:48:06,1530107286.5169737,29.4,48.5,,
hc4,2018-06-27 09:49:07,1530107347.1370702,29.4,48.5,,
hc4,2018-06-27 09:50:07,1530107407.7484527,29.4,48.5,,
hc4,2018-06-27 09:51:08,1530107468.359564,29.4,48.6,,
hc4,2018-06-27 09:51:19,1530107479.582861,29.4,48.6,,
hc4,2018-06-27 09:52:20,1530107540.1992173,29.4,48.6,,
hc4,2018-06-27 09:53:04,1530107584.9919012,29.4,48.7,,
hc4,2018-06-27 09:54:05,1530107645.6072884,29.4,48.7,,
hc4,2018-06-27 09:55:04,1530107704.3692358,29.5,48.7,,
hc4,2018-06-27 09:55:33,1530107733.1687043,29.5,48.7,,
hc4,2018-06-27 09:56:36,1530107796.3398118,29.5,48.7,,
hc4,2018-06-27 09:57:36,1530107856.9565895,29.5,48.7,,
hc4,2018-06-27 09:57:48,1530107868.2290244,29.5,48.7,,
hc4,2018-06-27 09:58:28,1530107908.5188477,29.5,48.7,,
hc4,2018-06-27 09:59:29,1530107969.1357615,29.5,48.7,,
hc4,2018-06-27 10:00:32,1530108032.293332,29.5,48.7,,
hc4,2018-06-27 10:01:32,1530108092.9046533,29.4,48.7,,
hc4,2018-06-27 10:02:33,1530108153.5186422,29.5,48.7,,
hc4,2018-06-27 10:03:34,1530108214.134421,29.5,48.7,,
hc4,2018-06-27 10:04:34,1530108274.7403545,29.5,48.7,,
hc4,2018-06-27 10:04:44,1530108284.9100819,29.5,48.7,,
hc4,2018-06-27 10:05:45,1530108345.5327334,29.5,48.7,,
hc4,2018-06-27 10:06:46,1530108406.1439466,29.5,49.0,,
hc4,2018-06-27 10:07:49,1530108469.2810128,29.5,48.6,,
hc4,2018-06-27 10:08:08,1530108488.8357496,29.5,48.7,,
hc4,2018-06-27 10:09:13,1530108553.5809257,29.5,48.7,,
hc4,2018-06-27 10:10:14,1530108614.2010343,29.5,48.7,,
hc4,2018-06-27 10:11:14,1530108674.804692,29.5,48.7,,
hc4,2018-06-27 10:12:15,1530108735.4096723,29.5,48.7,,
hc4,2018-06-27 10:13:16,1530108796.0132415,29.5,48.8,,
hc4,2018-06-27 10:14:16,1530108856.6245253,29.6,48.8,,
hc4,2018-06-27 10:15:17,1530108917.229301,29.6,48.8,,
hc4,2018-06-27 10:16:11,1530108971.6329112,29.6,48.8,,
hc4,2018-06-27 10:20:18,1530109218.3958497,29.6,48.9,,
hc4,2018-06-27 10:21:19,1530109279.0150893,29.6,48.8,,
hc4,2018-06-27 10:22:19,1530109339.618935,29.6,48.9,,
hc4,2018-06-27 10:23:20,1530109400.235988,29.5,48.8,,
hc4,2018-06-27 10:24:20,1530109460.8467612,29.6,48.9,,
hc4,2018-06-27 10:25:26,1530109526.5074906,29.6,48.9,,
hc4,2018-06-27 10:26:08,1530109568.321847,29.6,48.9,,
hc4,2018-06-27 10:27:08,1530109628.945117,29.6,48.9,,
hc4,2018-06-27 10:27:30,1530109650.8776307,29.6,48.9,,
hc4,2018-06-27 10:28:32,1530109712.4100513,29.6,48.8,,
hc4,2018-06-27 10:29:35,1530109775.6650672,29.6,48.8,,
hc4,2018-06-27 10:30:15,1530109815.5873117,29.6,48.8,,
hc4,2018-06-27 10:31:16,1530109876.23209,29.6,48.8,,
hc4,2018-06-27 10:31:50,1530109910.1229577,29.6,48.9,,
hc4,2018-06-27 10:32:50,1530109970.7983575,29.6,48.9,,
hc4,2018-06-27 10:33:23,1530110003.6634812,29.6,48.9,,
hc4,2018-06-27 10:34:26,1530110066.8672667,29.6,48.9,,
hc4,2018-06-27 11:27:05,1530113225.3577356,29.6,48.8,,
hc4,2018-06-27 11:28:08,1530113288.5085244,29.6,48.8,,
hc4,2018-06-27 11:29:09,1530113349.1063824,29.6,48.7,,
hc4,2018-06-27 11:30:14,1530113414.7595193,29.6,48.7,,
hc4,2018-06-27 11:31:15,1530113475.3641913,29.6,48.7,,
hc4,2018-06-27 11:32:15,1530113535.968674,29.7,48.8,,
hc4,2018-06-27 11:33:19,1530113599.1108303,29.6,48.7,,
hc4,2018-06-27 11:34:19,1530113659.7040646,29.6,48.7,,
hc4,2018-06-27 11:35:20,1530113720.308337,29.7,48.7,,
hc4,2018-06-27 11:36:20,1530113780.899624,29.6,48.7,,
hc4,2018-06-27 11:37:21,1530113841.5038903,29.7,48.7,,
hc4,2018-06-27 11:38:22,1530113902.1077726,29.7,48.8,,
hc4,2018-06-27 11:38:57,1530113937.8997023,29.7,48.7,,
hc4,2018-06-27 11:40:03,1530114003.9167352,29.6,48.6,,
hc4,2018-06-27 11:40:52,1530114052.3220568,29.6,48.6,,
hc4,2018-06-27 11:42:37,1530114157.9839716,29.7,48.7,,
hc4,2018-06-27 11:43:38,1530114218.6437082,29.7,48.7,,
hc4,2018-06-27 11:43:55,1530114235.1160014,29.7,48.7,,
hc4,2018-06-27 11:44:55,1530114295.739824,29.7,48.7,,
hc4,2018-06-27 11:45:56,1530114356.3443918,29.7,48.7,,
hc4,2018-06-27 11:46:56,1530114416.9390707,29.7,48.7,,
hc4,2018-06-27 11:47:57,1530114477.542644,29.7,48.8,,
hc4,2018-06-27 11:49:00,1530114540.6638117,29.6,48.7,,
hc4,2018-06-27 11:50:01,1530114601.2693477,29.6,48.7,,
hc4,2018-06-27 11:51:01,1530114661.8702087,29.6,48.7,,
hc4,2018-06-27 11:52:22,1530114742.7824273,29.7,48.8,,
hc4,2018-06-27 11:53:23,1530114803.396531,29.7,48.8,,
hc4,2018-06-27 11:54:01,1530114841.9792416,29.7,48.8,,
hc4,2018-06-27 11:55:02,1530114902.6000087,29.6,48.7,,
hc4,2018-06-27 11:56:03,1530114963.2158034,29.7,48.7,,
hc4,2018-06-27 11:57:03,1530115023.820277,29.7,48.8,,
hc4,2018-06-27 11:58:04,1530115084.4360828,29.7,48.8,,
hc4,2018-06-27 11:59:05,1530115145.034668,29.7,48.7,,
hc4,2018-06-27 11:59:50,1530115190.9738164,29.7,48.8,,
hc4,2018-06-27 12:00:51,1530115251.607794,29.7,48.8,,
hc4,2018-06-27 12:01:52,1530115312.2132294,29.6,48.8,,
hc4,2018-06-27 12:02:12,1530115332.2160292,29.7,48.8,,
hc4,2018-06-27 12:03:12,1530115392.8733943,29.6,48.7,,
hc4,2018-06-27 12:03:37,1530115417.453185,29.7,48.8,,
hc4,2018-06-27 12:04:38,1530115478.1059012,29.7,48.8,,
hc4,2018-06-27 12:05:12,1530115512.7327352,29.7,48.8,,
hc4,2018-06-27 12:05:45,1530115545.5225282,29.7,48.8,,
hc4,2018-06-27 12:06:46,1530115606.1701467,29.7,48.8,,
hc4,2018-06-27 12:07:46,1530115666.763694,29.7,48.8,,
hc4,2018-06-27 12:08:47,1530115727.368606,29.7,48.7,,
hc4,2018-06-27 12:09:47,1530115787.9640148,29.7,48.7,,
hc4,2018-06-27 12:10:48,1530115848.5684974,29.7,48.6,,
hc4,2018-06-27 12:11:49,1530115909.1743512,29.7,48.7,,
hc4,2018-06-27 12:12:49,1530115969.7672107,29.7,48.8,,
hc4,2018-06-27 12:13:50,1530116030.3719351,29.7,48.8,,
hc4,2018-06-27 12:14:50,1530116090.9650028,29.7,48.8,,
hc4,2018-06-27 12:15:46,1530116146.1839616,29.6,48.8,,
hc4,2018-06-27 12:16:44,1530116204.2797792,29.7,48.9,,
hc4,2018-06-27 12:17:44,1530116264.9064088,29.7,48.9,,
hc4,2018-06-27 12:18:45,1530116325.5575678,29.7,49.1,,
